text_id,label
564,other
565,other
566,other
567,other
568,other
569,other
570,other
571,medicine
572,medicine
573,other
574,medicine
575,other
576,other
577,other
578,other
579,other
580,it
581,other
582,medicine
583,other
584,other
585,other
586,other
587,other
588,other
589,other
590,other
591,other
592,other
593,other
594,other
595,other
596,other
597,other
598,other
599,other
600,other
601,other
602,other
603,other
604,other
605,other
606,other
607,other
608,other
609,other
610,other
611,other
612,other
613,other
614,other
615,other
616,other
617,other
618,other
619,other
620,other
621,medicine
622,other
623,construction
624,other
625,other
626,other
627,other
628,other
629,other
630,other
631,other
632,other
633,other
634,other
635,other
636,other
637,other
638,other
639,other
640,other
641,other
642,other
643,other
644,other
645,other
646,other
647,other
648,other
649,other
650,other
651,other
652,other
653,other
654,other
655,other
656,other
657,other
658,other
659,other
660,other
661,other
662,other
663,other
664,other
665,other
666,other
667,other
668,other
669,other
670,other
671,other
672,other
673,construction
674,other
675,other
676,other
677,other
678,other
679,other
680,other
681,other
682,other
683,other
684,other
685,other
686,other
687,other
688,other
689,other
690,other
691,other
692,other
693,other
694,other
695,other
696,other
697,it
698,other
699,other
700,other
701,it
702,other
703,other
704,other
705,other
706,other
707,other
708,other
709,other
710,other
711,other
712,other
713,other
714,other
715,other
716,it
717,other
718,other
719,other
720,other
721,other
722,other
723,other
724,other
725,other
726,other
727,other
728,other
729,other
730,it
731,other
732,other
733,other
734,other
735,construction
736,other
737,other
738,other
739,medicine
740,construction
741,other
742,other
743,medicine
744,other
745,it
746,other
747,other
748,other
749,other
750,other
751,other
752,other
753,other
754,medicine
755,other
756,other
757,other
758,it
759,other
760,other
761,other
762,it
763,other
764,other
765,other
766,other
767,other
768,other
769,other
770,other
771,other
772,other
773,other
774,other
775,other
776,it
777,other
778,other
779,other
780,other
781,other
782,other
783,other
784,other
785,other
786,other
787,other
788,other
789,other
790,other
791,it
792,other
793,other
794,other
795,it
796,other
797,other
798,medicine
799,other
