text_id,raw_text,processed_v2,sentences
65,"Профілактика кондиціонерів Профілактика кондиціонерів Учасник повинен надати в електронному (сканованому у форматі pdf) в складі свої пропозиції наступні документи:
-	Копія свідоцтва про державну реєстрацію або копія виписки з єдиного державного реєстру юридичних осіб та фізичних осіб підприємців про державну реєстрацію (для юридичних осіб та суб’єктів підприємницької діяльності);
-	Копія свідоцтва платника ПДВ (у разі наявності), або витягу з реєстру платників ПДВ;
-	Копія статуту;
-	 Документальне підтвердження  наявність обладнання та матеріально – технічної бази, працівників відповідної кваліфікації, які мають необхідні знання та досвід, досвіду виконання аналогічних договорів.
Документи, що підтверджують відповідність вимогам до кваліфікації учасників в паперовому вигляді, завірені підписом та печаткою учасника, надаються замовнику переможцем під час укладання  договору про надання послуг.
 Для оплати послуг виконавець повинен надати договір про надання послуг та акт виконаних робіт.
Розрахунки за договором проводяться після надання послуг. 
Надання послуг проводиться за адресою замовника, всі транспортні видатки за рахунок виконавця.","Профілактика кондиціонерів Профілактика кондиціонерів Учасник повинен надати в електронному (сканованому у форматі pdf) в складі свої пропозиції наступні документи:
-	Копія свідоцтва про державну реєстрацію або копія виписки з єдиного державного реєстру юридичних осіб та фізичних осіб підприємців про державну реєстрацію (для юридичних осіб та суб'єктів підприємницької діяльності);
-	Копія свідоцтва платника ПДВ (у разі наявності), або витягу з реєстру платників ПДВ;
-	Копія статуту;
-	 Документальне підтвердження  наявність обладнання та матеріально - технічної бази, працівників відповідної кваліфікації, які мають необхідні знання та досвід, досвіду виконання аналогічних договорів.
Документи, що підтверджують відповідність вимогам до кваліфікації учасників в паперовому вигляді, завірені підписом та печаткою учасника, надаються замовнику переможцем під час укладання  договору про надання послуг.
 Для оплати послуг виконавець повинен надати договір про надання послуг та акт виконаних робіт.
Розрахунки за договором проводяться після надання послуг. 
Надання послуг проводиться за адресою замовника, всі транспортні видатки за рахунок виконавця.","Профілактика кондиціонерів Профілактика кондиціонерів Учасник повинен надати в електронному (сканованому у форматі pdf) в складі свої пропозиції наступні документи:
-	Копія свідоцтва про державну реєстрацію або копія виписки з єдиного державного реєстру юридичних осіб та фізичних осіб підприємців про державну реєстрацію (для юридичних осіб та суб'єктів підприємницької діяльності);
-	Копія свідоцтва платника ПДВ (у разі наявності), або витягу з реєстру платників ПДВ;
-	Копія статуту;
-	 Документальне підтвердження  наявність обладнання та матеріально - технічної бази, працівників відповідної кваліфікації, які мають необхідні знання та досвід, досвіду виконання аналогічних договорів.
Документи, що підтверджують відповідність вимогам до кваліфікації учасників в паперовому вигляді, завірені підписом та печаткою учасника, надаються замовнику переможцем під час укладання  договору про надання послуг.
 Для оплати послуг виконавець повинен надати договір про надання послуг та акт виконаних робіт.
Розрахунки за договором проводяться після надання послуг. 
Надання послуг проводиться за адресою замовника, всі транспортні видатки за рахунок виконавця."
286,"Матеріали для ремонту прального обладнання Електроди АНО-21 3мм	10	кг
ремень клиновий 1120 А	6	шт
ремень клиновий 1500 А	6	шт
ремень  клиновий1600 (Б-В)	6	шт
ремень  клиновий1900 (Б-В)	4	шт
ремень  клиновий1950 (Б-В)	14	шт
ремень  клиновий2000  (Б-В)	40	шт
ремень  клиновий2200 (Б-В)	6	шт
підшипник 180604 	8	шт
підшипник 180605 	8	шт
підшипник 180606 	8	шт
підшипник 80203 	10	шт
підшипник 80204 	12	шт
підшипник 80205 	10	шт
підшипник   60312   	4	шт
підшипник   313   	4	шт
підшипник   216   	6	шт
підшипник   217  	6	шт
Гума губчаста S=10	5	кг
Параніт ПМБ 1 мм	5	кг
Стрічка тормозна 070х8 лат-2	6	м
Фторопласт 4 мм.	10	кг
		
Контактна особа: 096 540 22 49 Анатолій Якович Електроди АНО-21 3мм	10	кг
ремень клиновий 1120 А	6	шт
ремень клиновий 1500 А	6	шт
ремень  клиновий1600 (Б-В)	6	шт
ремень  клиновий1900 (Б-В)	4	шт
ремень  клиновий1950 (Б-В)	14	шт
ремень  клиновий2000  (Б-В)	40	шт
ремень  клиновий2200 (Б-В)	6	шт
підшипник 180604 	8	шт
підшипник 180605 	8	шт
підшипник 180606 	8	шт
підшипник 80203 	10	шт
підшипник 80204 	12	шт
підшипник 80205 	10	шт
підшипник   60312   	4	шт
підшипник   313   	4	шт
підшипник   216   	6	шт
підшипник   217  	6	шт
Гума губчаста S=10	5	кг
Параніт ПМБ 1 мм	5	кг
Стрічка тормозна 070х8 лат-2	6	м
Фторопласт 4 мм.	10	кг","Матеріали для ремонту прального обладнання Електроди АНО-21 3мм	10	кг
ремень клиновий 1120 А	6	шт
ремень клиновий 1500 А	6	шт
ремень  клиновий1600 (Б-В)	6	шт
ремень  клиновий1900 (Б-В)	4	шт
ремень  клиновий1950 (Б-В)	14	шт
ремень  клиновий2000  (Б-В)	40	шт
ремень  клиновий2200 (Б-В)	6	шт
підшипник 180604 	8	шт
підшипник 180605 	8	шт
підшипник 180606 	8	шт
підшипник 80203 	10	шт
підшипник 80204 	12	шт
підшипник 80205 	10	шт
підшипник   60312   	4	шт
підшипник   313   	4	шт
підшипник   216   	6	шт
підшипник   217  	6	шт
Гума губчаста S=10	5	кг
Параніт ПМБ 1 мм	5	кг
Стрічка тормозна 070х8 лат-2	6	м
Фторопласт 4 мм.	10	кг
		
Контактна особа: 096 540 22 49 Анатолій Якович Електроди АНО-21 3мм	10	кг
ремень клиновий 1120 А	6	шт
ремень клиновий 1500 А	6	шт
ремень  клиновий1600 (Б-В)	6	шт
ремень  клиновий1900 (Б-В)	4	шт
ремень  клиновий1950 (Б-В)	14	шт
ремень  клиновий2000  (Б-В)	40	шт
ремень  клиновий2200 (Б-В)	6	шт
підшипник 180604 	8	шт
підшипник 180605 	8	шт
підшипник 180606 	8	шт
підшипник 80203 	10	шт
підшипник 80204 	12	шт
підшипник 80205 	10	шт
підшипник   60312   	4	шт
підшипник   313   	4	шт
підшипник   216   	6	шт
підшипник   217  	6	шт
Гума губчаста S=10	5	кг
Параніт ПМБ 1 мм	5	кг
Стрічка тормозна 070х8 лат-2	6	м
Фторопласт 4 мм.	10	кг","Матеріали для ремонту прального обладнання Електроди АНО-21 3мм	10	кг
ремень клиновий 1120 А	6	шт
ремень клиновий 1500 А	6	шт
ремень  клиновий1600 (Б-В)	6	шт
ремень  клиновий1900 (Б-В)	4	шт
ремень  клиновий1950 (Б-В)	14	шт
ремень  клиновий2000  (Б-В)	40	шт
ремень  клиновий2200 (Б-В)	6	шт
підшипник 180604 	8	шт
підшипник 180605 	8	шт
підшипник 180606 	8	шт
підшипник 80203 	10	шт
підшипник 80204 	12	шт
підшипник 80205 	10	шт
підшипник   60312   	4	шт
підшипник   313   	4	шт
підшипник   216   	6	шт
підшипник   217  	6	шт
Гума губчаста S=10	5	кг
Параніт ПМБ 1 мм	5	кг
Стрічка тормозна 070х8 лат-2	6	м
Фторопласт 4 мм.	10	кг
		
Контактна особа: 096 540 22 49 Анатолій Якович Електроди АНО-21 3мм	10	кг
ремень клиновий 1120 А	6	шт
ремень клиновий 1500 А	6	шт
ремень  клиновий1600 (Б-В)	6	шт
ремень  клиновий1900 (Б-В)	4	шт
ремень  клиновий1950 (Б-В)	14	шт
ремень  клиновий2000  (Б-В)	40	шт
ремень  клиновий2200 (Б-В)	6	шт
підшипник 180604 	8	шт
підшипник 180605 	8	шт
підшипник 180606 	8	шт
підшипник 80203 	10	шт
підшипник 80204 	12	шт
підшипник 80205 	10	шт
підшипник   60312   	4	шт
підшипник   313   	4	шт
підшипник   216   	6	шт
підшипник   217  	6	шт
Гума губчаста S=10	5	кг
Параніт ПМБ 1 мм	5	кг
Стрічка тормозна 070х8 лат-2	6	м
Фторопласт 4 мм.	10	кг"
635,"Папір Папір офісний А4, клас -А, щільність 80гр/м2,білий в пачці 500 арк. Папір офісний А4, клас -А, щільність 80гр/м2,білий в пачці 500 арк.","Папір Папір офісний А4, клас -А, щільність 80гр/м2,білий в пачці 500 арк. Папір офісний А4, клас -А, щільність 80гр/м2,білий в пачці 500 арк.","Папір Папір офісний А4, клас -А, щільність 80гр/м2,білий в пачці 500 арк. Папір офісний А4, клас -А, щільність 80гр/м2,білий в пачці 500 арк."
67,"Заправлення балону азотом Прийом товару відбувається  за якістю та кількістю, яка відповідає «Інструкції про порядок прийому продукції виробничо- технічного призначення та товарів народного споживання по кількості П-6, та по якості П-7, затверджених  Постановою Держарбітражу при раді міністрів СРСР  від 15 червня 1965р № П-6 та 25 квітня 1966 року № П-7 (зі змінами, внесеними Постановою Держарбітражу СРСР від 29 грудня 1973 р. № 81, від 14 листопада 1974 № 98, від 23 липня 1975р № 115.)» Учасник повинен надати в електронному (сканованому у форматі pdf) в складі свої пропозиції наступні документи:
-	Копія свідоцтва про державну реєстрацію або копія виписки з єдиного державного реєстру юридичних осіб та фізичних осіб підприємців про державну реєстрацію (для юридичних осіб та суб’єктів підприємницької діяльності);
-	Копія свідоцтва платника ПДВ (у разі наявності), або витягу з реєстру платників ПДВ;
-	Копія статуту;
-	 Документальне підтвердження  наявність обладнання та матеріально – технічної бази, працівників відповідної кваліфікації, які мають необхідні знання та досвід, досвіду виконання аналогічних договорів.
Документи, що підтверджують відповідність вимогам до кваліфікації учасників в паперовому вигляді, завірені підписом та печаткою учасника, надаються замовнику переможцем під час укладання  договору про закупівлю.
 Для оплати послуг виконавець повинен надати договір поставки  та видаткову накладну.
Розрахунки за договором проводяться після надання послуг. 
Заправлення азотним газом проводиться у балон  замовника, транспортування його проводиться за рахунок виконавця.","Заправлення балону азотом Прийом товару відбувається  за якістю та кількістю, яка відповідає ""Інструкції про порядок прийому продукції виробничо- технічного призначення та товарів народного споживання по кількості П-6, та по якості П-7, затверджених  Постановою Держарбітражу при раді міністрів СРСР  від 15 червня 1965р № П-6 та 25 квітня 1966 року № П-7 (зі змінами, внесеними Постановою Держарбітражу СРСР від 29 грудня 1973 р. № 81, від 14 листопада 1974 № 98, від 23 липня 1975р № 115.)"" Учасник повинен надати в електронному (сканованому у форматі pdf) в складі свої пропозиції наступні документи:
-	Копія свідоцтва про державну реєстрацію або копія виписки з єдиного державного реєстру юридичних осіб та фізичних осіб підприємців про державну реєстрацію (для юридичних осіб та суб'єктів підприємницької діяльності);
-	Копія свідоцтва платника ПДВ (у разі наявності), або витягу з реєстру платників ПДВ;
-	Копія статуту;
-	 Документальне підтвердження  наявність обладнання та матеріально - технічної бази, працівників відповідної кваліфікації, які мають необхідні знання та досвід, досвіду виконання аналогічних договорів.
Документи, що підтверджують відповідність вимогам до кваліфікації учасників в паперовому вигляді, завірені підписом та печаткою учасника, надаються замовнику переможцем під час укладання  договору про закупівлю.
 Для оплати послуг виконавець повинен надати договір поставки  та видаткову накладну.
Розрахунки за договором проводяться після надання послуг. 
Заправлення азотним газом проводиться у балон  замовника, транспортування його проводиться за рахунок виконавця.","Заправлення балону азотом Прийом товару відбувається  за якістю та кількістю, яка відповідає ""Інструкції про порядок прийому продукції виробничо- технічного призначення та товарів народного споживання по кількості П-6, та по якості П-7, затверджених  Постановою Держарбітражу при раді міністрів СРСР  від 15 червня 1965р № П-6 та 25 квітня 1966 року № П-7 (зі змінами, внесеними Постановою Держарбітражу СРСР від 29 грудня 1973 р. № 81, від 14 листопада 1974 № 98, від 23 липня 1975р № 115.)"" Учасник повинен надати в електронному (сканованому у форматі pdf) в складі свої пропозиції наступні документи:
-	Копія свідоцтва про державну реєстрацію або копія виписки з єдиного державного реєстру юридичних осіб та фізичних осіб підприємців про державну реєстрацію (для юридичних осіб та суб'єктів підприємницької діяльності);
-	Копія свідоцтва платника ПДВ (у разі наявності), або витягу з реєстру платників ПДВ;
-	Копія статуту;
-	 Документальне підтвердження  наявність обладнання та матеріально - технічної бази, працівників відповідної кваліфікації, які мають необхідні знання та досвід, досвіду виконання аналогічних договорів.
Документи, що підтверджують відповідність вимогам до кваліфікації учасників в паперовому вигляді, завірені підписом та печаткою учасника, надаються замовнику переможцем під час укладання  договору про закупівлю.
 Для оплати послуг виконавець повинен надати договір поставки  та видаткову накладну.
Розрахунки за договором проводяться після надання послуг. 
Заправлення азотним газом проводиться у балон  замовника, транспортування його проводиться за рахунок виконавця."
327,Друк афіші Чорно-білий друк форматом А3 з фотографією на звичайному папері (згідно затвердженого макету) Чорно-білий друк форматом А3 з фотографією на звичайному папері (згідно затвердженого макету),Друк афіші Чорно-білий друк форматом А3 з фотографією на звичайному папері (згідно затвердженого макету) Чорно-білий друк форматом А3 з фотографією на звичайному папері (згідно затвердженого макету),Друк афіші Чорно-білий друк форматом А3 з фотографією на звичайному папері (згідно затвердженого макету) Чорно-білий друк форматом А3 з фотографією на звичайному папері (згідно затвердженого макету)
395,Папір офісний А4 Папір офісний А4  80 г\м2 Папір офісний А4,Папір офісний А4 Папір офісний А4  80 г\м2 Папір офісний А4,Папір офісний А4 Папір офісний А4  80 г\м2 Папір офісний А4
244,Овочі Буряк Буряк,Овочі Буряк Буряк,Овочі Буряк Буряк
377,"Послуги мобільного зв'язку Послуги мобільного зв'язку, тарифний план М2М(передача данних для пристроїв - медичне обладнання). Послуги мобільного зв'язку, тарифний план М2М(передача данних для пристроїв - медичне обладнання).","Послуги мобільного зв'язку Послуги мобільного зв'язку, тарифний план М2М(передача данних для пристроїв - медичне обладнання). Послуги мобільного зв'язку, тарифний план М2М(передача данних для пристроїв - медичне обладнання).","Послуги мобільного зв'язку Послуги мобільного зв'язку, тарифний план М2М(передача данних для пристроїв - медичне обладнання). Послуги мобільного зв'язку, тарифний план М2М(передача данних для пристроїв - медичне обладнання)."
610,"Натрію хлорид, розчин для інфузій, 9 мг/мл Прозора безбарвна рідина. У пляшках по 400 мл Прозора безбарвна рідина. У пляшках по 400 мл","Натрію хлорид, розчин для інфузій, 9 мг/мл Прозора безбарвна рідина. У пляшках по 400 мл Прозора безбарвна рідина. У пляшках по 400 мл","Натрію хлорид, розчин для інфузій, 9 мг/мл Прозора безбарвна рідина. У пляшках по 400 мл Прозора безбарвна рідина. У пляшках по 400 мл"
526,Серветка для підлоги Серветка для підлоги Серветка для підлоги,Серветка для підлоги Серветка для підлоги Серветка для підлоги,Серветка для підлоги Серветка для підлоги Серветка для підлоги
658,ДИМЕДРОЛ ДИМЕДРОЛ розч. для інєкц. № 10 ДИМЕДРОЛ розч. для інєкц. № 10,ДИМЕДРОЛ ДИМЕДРОЛ розч. для інєкц. № 10 ДИМЕДРОЛ розч. для інєкц. № 10,ДИМЕДРОЛ ДИМЕДРОЛ розч. для інєкц. № 10 ДИМЕДРОЛ розч. для інєкц. № 10
529,Мішки для сміття 35л (30шт/уп) Мішки для сміття 5л (30шт/уп) Мішки для сміття 5л (30шт/уп),Мішки для сміття 35л (30шт/уп) Мішки для сміття 5л (30шт/уп) Мішки для сміття 5л (30шт/уп),Мішки для сміття 35л (30шт/уп) Мішки для сміття 5л (30шт/уп) Мішки для сміття 5л (30шт/уп)
622,"Природний пісок. Природний пісок  згідно з ДСТУ Б В.2.7-32.
Доставка протягом двох днів після підписання договору. Оплата після фінансування. Природний пісок  згідно з ДСТУ Б В.2.7-32.
Доставка протягом двох днів після підписання договору. Оплата після фінансування.","Природний пісок. Природний пісок  згідно з ДСТУ Б В.2.7-32.
Доставка протягом двох днів після підписання договору. Оплата після фінансування. Природний пісок  згідно з ДСТУ Б В.2.7-32.
Доставка протягом двох днів після підписання договору. Оплата після фінансування.","Природний пісок. Природний пісок  згідно з ДСТУ Б В.2.7-32.
Доставка протягом двох днів після підписання договору. Оплата після фінансування. Природний пісок  згідно з ДСТУ Б В.2.7-32.
Доставка протягом двох днів після підписання договору. Оплата після фінансування."
721,"Радіотелефони Радіотелефон Panasonic КХ-Т01107-2 шт
Стаціонарно дротовий Panasonic КХ- TS 2352 VAW- 2 шт
Стаціонарно дротовий PPC 42-C-W - 18 шт
 Радіотелефон Panasonic КХ-Т01107-2 шт Стаціонарно дротовий Panasonic КХ- TS 2352 VAW- 2 шт Стаціонарно дротовий PPC 42-C-W - 18 шт","Радіотелефони Радіотелефон Panasonic КХ-Т01107-2 шт
Стаціонарно дротовий Panasonic КХ- TS 2352 VAW- 2 шт
Стаціонарно дротовий PPC 42-C-W - 18 шт
 Радіотелефон Panasonic КХ-Т01107-2 шт Стаціонарно дротовий Panasonic КХ- TS 2352 VAW- 2 шт Стаціонарно дротовий PPC 42-C-W - 18 шт","Радіотелефони Радіотелефон Panasonic КХ-Т01107-2 шт
Стаціонарно дротовий Panasonic КХ- TS 2352 VAW- 2 шт
Стаціонарно дротовий PPC 42-C-W - 18 шт
 Радіотелефон Panasonic КХ-Т01107-2 шт Стаціонарно дротовий Panasonic КХ- TS 2352 VAW- 2 шт Стаціонарно дротовий PPC 42-C-W - 18 шт"
